1043374545|"rulabula"|30.00|0|2001-12-03 18:10:40|2001-12-13 18:10:40
1043397459|"dollface94"|99.99|0|2001-12-03 18:38:23|2001-12-13 18:38:23
1043402767|"fallsantiques"|4.00|1|2001-12-03 18:44:54|2001-12-13 18:44:54
1043402785|"fallsantiques"|3.50|0|2001-12-03 18:44:55|2001-12-13 18:44:55
1043495702|"lwm123"|28.00|6|2001-12-03 20:40:07|2001-12-13 20:40:07
1043506302|"dmaley"|6.00|0|2001-12-03 20:59:45|2001-12-13 20:59:45
1043562035|"sharkbud"|15.00|0|2001-12-04 03:09:56|2001-12-14 03:09:56
1043565691|"scripophily.com"|24.95|0|2001-12-04 04:02:04|2001-12-14 04:02:04
1043608482|"gracie3@kc.rr.com"|7.95|0|2001-12-04 08:10:20|2001-12-14 08:10:20
1043650580|"nikkinap"|24.99|0|2001-12-04 10:30:55|2001-12-14 10:30:55
1043747228|"browseandbuy"|19.95|0|2001-12-04 14:29:34|2001-12-14 14:29:34
1043749860|"captwhiz"|197.50|12|2001-12-04 14:36:30|2001-12-14 14:36:30
1043817906|"tjsdsm"|6.00|1|2001-12-04 16:56:27|2001-12-14 16:56:27
1043899828|"robray"|19.90|1|2001-12-04 18:35:48|2001-12-14 18:35:48
1043930362|"parrothead88"|11.99|1|2001-12-04 19:04:26|2001-12-14 17:28:51
1043937480|"joetsales"|9.98|0|2001-12-04 19:11:42|2001-12-14 19:11:42
1043987329|"ubese2@aol.com"|9.99|0|2001-12-04 20:03:58|2001-12-14 20:03:58
1044027229|"iconpix"|9.99|1|2001-12-04 21:00:05|2001-12-14 21:00:05
1044042244|"docnano"|47.99|8|2001-12-04 21:31:58|2001-12-14 21:31:58
1044078197|"djaap.shawneelink.net"|6.99|1|2001-12-05 00:09:14|2001-12-15 00:09:14
1044100897|"sea-bill"|60.00|0|2001-12-05 04:47:05|2001-12-15 04:47:05
1044104207|"juriju@hotmail.com"|17.50|0|2001-12-05 05:15:30|2001-12-15 05:15:30
1044107651|"edsoldstuff"|14.39|5|2001-12-05 05:35:50|2001-12-15 05:35:50
1044123448|"msthrifty"|9.00|0|2001-12-05 06:59:33|2001-12-15 06:59:33
1044154993|"yankeeladybugg"|9.00|0|2001-12-05 09:01:01|2001-12-15 09:01:01
1044160600|"dustknot"|5.50|1|2001-12-05 09:19:09|2001-12-15 09:19:09
1044214000|"vaness2604@aol.com"|10.00|1|2001-12-05 11:41:12|2001-12-15 11:41:12
1044269494|"pflan1"|3.50|0|2001-12-05 13:50:27|2001-12-15 13:50:27
1044271868|"www.cornerantiques.com"|9.99|0|2001-12-05 13:55:53|2001-12-15 13:55:53
1044279832|"neonbl"|29.99|1|2001-12-05 14:13:37|2001-12-15 14:13:37
1044285284|"kathysnostalgia"|3.50|0|2001-12-05 14:23:20|2001-12-15 14:23:20
